factor	dimension	correlation	p.value
ENSG00000175054	PC1	-0.955235630347512	1.66412340002922e-05
ENSG00000168883	PC1	-0.953028163642285	2.01203589045606e-05
ENSG00000182175	PC1	0.953990344580208	1.85434958409656e-05
ENSG00000132510	PC1	0.954551915040863	1.76667102307477e-05
ENSG00000169902	PC1	0.957352955742133	1.37446209951465e-05
ENSG00000143437	PC1	0.959681477559984	1.1011023231203e-05
ENSG00000151148	PC1	0.960537188249463	1.01161186421781e-05
ENSG00000088756	PC1	0.963008825183499	7.83358735932832e-06
ENSG00000186591	PC1	0.972888605180929	2.28762939353569e-06
ENSG00000188706	PC1	0.977332663672246	1.1238737301525e-06
ENSG00000167674	PC2	-0.951934985140439	2.20303854499609e-05
ENSG00000131652	PC2	-0.926430548258654	0.000117193011924378
ENSG00000099940	PC2	-0.926397202684016	0.000117400801077813
ENSG00000004975	PC2	-0.922367466969204	0.000144580264604484
ENSG00000138867	PC2	-0.922173203494549	0.000145997831579227
ENSG00000236088	PC2	0.913904307211848	0.000216427832142361
ENSG00000122068	PC2	0.931437095645258	8.89502601031111e-05
ENSG00000049192	PC2	0.935011198727362	7.21196760505852e-05
ENSG00000173166	PC2	0.945876971085668	3.51574082163874e-05
ENSG00000081307	PC2	0.949602701778068	2.65519865098239e-05
ENSG00000177694	PC3	0.921253768237905	0.000152846547709884
ENSG00000181804	PC3	0.923549161485278	0.000136174780400823
ENSG00000239521	PC3	0.925984307508402	0.000119996301187751
ENSG00000139613	PC3	0.929578803705819	9.87666435441012e-05
ENSG00000136878	PC3	0.933756812773596	7.77310879564505e-05
ENSG00000154917	PC3	0.944650497691129	3.83964541544322e-05
ENSG00000171503	PC3	0.947794103010674	3.05060278784889e-05
ENSG00000213366	PC3	0.951046186058734	2.36799255882804e-05
ENSG00000168398	PC3	0.96470293071687	6.50754995198205e-06
ENSG00000177868	PC3	0.967139513362606	4.90280658414952e-06
