factor	dimension	correlation	p.value
Glutamate	PC1	-0.901074309681238	0.000371281752340869
Glycine	PC1	-0.900370521621831	0.000381626127563238
Aspartate	PC1	-0.861452468584972	0.00135918456877807
UDP_Glc_NAC	PC1	-0.851175952513427	0.00178617622929403
Acetate	PC1	-0.779383553563308	0.00786454439478184
Valine	PC1	0.868538452963407	0.00111163489941704
1_Methylnicotinamide	PC1	0.879020454249877	0.000807869532714009
3_Methylhistidine	PC1	0.887731491833724	0.000605712732388128
Phenylalanine	PC1	0.88995445730548	0.00056070211199281
Tyrosine	PC1	0.964489869598317	6.664376032056e-06
GSH	PC2	-0.727926247091927	0.0169989828827326
GPC	PC2	0.711940262019339	0.0209091663555865
Choline	PC2	0.727024833338442	0.01720472588823
Proline	PC2	0.763737641527628	0.0101346739246812
Lysine	PC2	0.846885382180953	0.00199036338975988
