factor	dimension	correlation	p.value
MIMAT0000772	PC1	-0.926949531332859	0.000113993891473984
ENSG00000105355	PC1	-0.92113924494491	0.000153715896124728
ENSG00000103160	PC1	-0.917862821578616	0.000180166863843992
ENSG00000177628	PC1	-0.91679386199114	0.000189479756743057
ENSG00000161277	PC1	-0.911373702975248	0.000242256549152362
ENSG00000079432	PC1	-0.904112260681452	0.000328973698202868
ENSG00000165934	PC1	0.91145826224526	0.000241358621951098
ENSG00000122435	PC1	0.915560227510021	0.000200662564014997
MIMAT0000252	PC1	0.924152362918359	0.000132025934904116
ENSG00000134852	PC1	0.93925721896913	5.53277790969991e-05
MIMAT0026484	PC2	-0.932560155303143	8.33790322013075e-05
ENSG00000100784	PC2	-0.918367866088474	0.00017588618079819
ENSG00000145241	PC2	-0.914361851643428	0.000211983791106656
ENSG00000101911	PC2	-0.910378873449777	0.000253005990712781
ENSG00000089693	PC2	0.907666813022189	0.000284091699930061
MIMAT0005798	PC2	0.911220859950569	0.00024388580571945
ENSG00000130635	PC2	0.913525017356685	0.000220163460552285
MIMAT0004804	PC2	0.919585732364891	0.000165872206043334
ENSG00000117394	PC2	0.930660223839117	9.2961859298092e-05
ENSG00000108821	PC2	0.964778629054577	6.45249850196254e-06
