factor	var_type	metric_type	dimension	metric	p.value
ENSG00000134852	quantitative	correlation	Dim.1	0.93925721896913	5.53277790969991e-05
MIMAT0000252	quantitative	correlation	Dim.1	0.924152362918359	0.000132025934904116
ENSG00000122435	quantitative	correlation	Dim.1	0.915560227510021	0.000200662564014997
ENSG00000165934	quantitative	correlation	Dim.1	0.91145826224526	0.000241358621951098
ENSG00000242125	quantitative	correlation	Dim.1	0.881398374855667	0.000748431158604955
ENSG00000174353	quantitative	correlation	Dim.1	0.881322151900155	0.000750285289135301
MIMAT0019828	quantitative	correlation	Dim.1	0.880831286572281	0.000762306053816623
ENSG00000119760	quantitative	correlation	Dim.1	0.876343831628103	0.000878813108356162
ENSG00000136100	quantitative	correlation	Dim.1	0.875276311365364	0.000908335828798785
ENSG00000188647	quantitative	correlation	Dim.1	0.871587622334704	0.00101592781409824
ENSG00000129187	quantitative	correlation	Dim.1	0.871178316501968	0.0010284125778272
ENSG00000139645	quantitative	correlation	Dim.1	0.867882380985071	0.00113305503941456
ENSG00000137955	quantitative	correlation	Dim.1	0.867324717385748	0.00115149691068828
ENSG00000040933	quantitative	correlation	Dim.1	0.867309269432202	0.0011520108585675
ENSG00000132359	quantitative	correlation	Dim.1	0.866911304954429	0.00116530857737322
MIMAT0000274	quantitative	correlation	Dim.1	0.86428351275984	0.00125593368643825
ENSG00000166411	quantitative	correlation	Dim.1	0.85988616884153	0.00141888555771121
MIMAT0018102	quantitative	correlation	Dim.1	0.858605705734162	0.00146908691610456
ENSG00000115946	quantitative	correlation	Dim.1	0.856501015998114	0.00155438417000949
ENSG00000048405	quantitative	correlation	Dim.1	0.85437339326367	0.00164420338222907
ENSG00000136933	quantitative	correlation	Dim.1	0.850946389811731	0.00179669913557625
ENSG00000091127	quantitative	correlation	Dim.1	0.847633147248712	0.00195362133837593
ENSG00000065923	quantitative	correlation	Dim.1	0.847627440059706	0.00195389989367959
ENSG00000116698	quantitative	correlation	Dim.1	0.8431343781237	0.00218225312294606
ENSG00000144283	quantitative	correlation	Dim.1	0.839588208940434	0.00237562470657414
ENSG00000146674	quantitative	correlation	Dim.1	0.837805803046565	0.00247734844998896
ENSG00000113597	quantitative	correlation	Dim.1	0.837655693725049	0.00248605628392041
ENSG00000086189	quantitative	correlation	Dim.1	0.837078753083099	0.00251973009986284
ENSG00000111300	quantitative	correlation	Dim.1	0.836535674814723	0.00255172678423649
ENSG00000177370	quantitative	correlation	Dim.1	0.83626571471896	0.00256774059029027
ENSG00000114030	quantitative	correlation	Dim.1	0.836134906766283	0.00257552600321281
ENSG00000138078	quantitative	correlation	Dim.1	0.830364638698326	0.00293619089810157
ENSG00000108379	quantitative	correlation	Dim.1	0.829724788307313	0.00297830395446917
chr8:12733039:12733100	quantitative	correlation	Dim.1	0.829541405183114	0.00299045336569349
ENSG00000100522	quantitative	correlation	Dim.1	0.82848569714308	0.00306109012276956
ENSG00000173145	quantitative	correlation	Dim.1	0.826347402850512	0.00320782647970203
ENSG00000085998	quantitative	correlation	Dim.1	0.8262204208622	0.00321669630834913
ENSG00000136114	quantitative	correlation	Dim.1	0.82588738967163	0.00324004260982838
ENSG00000225648	quantitative	correlation	Dim.1	0.823865638495776	0.0033843936208757
ENSG00000163798	quantitative	correlation	Dim.1	0.823847177883461	0.00338573257790213
ENSG00000154447	quantitative	correlation	Dim.1	0.822253278978746	0.00350277979255453
ENSG00000211456	quantitative	correlation	Dim.1	0.818815471071068	0.00376507997348324
ENSG00000074527	quantitative	correlation	Dim.1	0.815374791212588	0.00404141015789558
ENSG00000152904	quantitative	correlation	Dim.1	0.814226254837835	0.00413679990808086
ENSG00000067248	quantitative	correlation	Dim.1	0.813870095066879	0.00416670471407584
ENSG00000132300	quantitative	correlation	Dim.1	0.81373719511596	0.00417790314708396
ENSG00000017260	quantitative	correlation	Dim.1	0.810998041672603	0.00441353981798613
ENSG00000166012	quantitative	correlation	Dim.1	0.809329161484974	0.00456167936258952
ENSG00000175455	quantitative	correlation	Dim.1	0.808504107548845	0.00463621365111708
ENSG00000131323	quantitative	correlation	Dim.1	0.80794602553938	0.00468712090846783
ENSG00000204387	quantitative	correlation	Dim.1	0.807306386457166	0.00474595749939865
ENSG00000115827	quantitative	correlation	Dim.1	0.806469305558121	0.00482375028393614
ENSG00000169246	quantitative	correlation	Dim.1	0.806311633696491	0.00483850454287626
ENSG00000143776	quantitative	correlation	Dim.1	0.805780378601933	0.00488845441020183
ENSG00000145337	quantitative	correlation	Dim.1	0.804832513720903	0.00497848783725493
ENSG00000214114	quantitative	correlation	Dim.1	0.804680241299386	0.00499306106282781
ENSG00000244560	quantitative	correlation	Dim.1	0.804659693183749	0.00499502994853066
MIMAT0018997	quantitative	correlation	Dim.1	0.804059469881135	0.00505278721556898
ENSG00000164164	quantitative	correlation	Dim.1	0.803733429132362	0.0050843598870581
ENSG00000183605	quantitative	correlation	Dim.1	0.802272490878955	0.00522756299016898
ENSG00000070961	quantitative	correlation	Dim.1	0.799907325441663	0.00546546421046848
MIMAT0016876	quantitative	correlation	Dim.1	0.799274084245009	0.00553044616405989
MIMAT0003340	quantitative	correlation	Dim.1	0.798067465805354	0.00565578803087421
ENSG00000226711	quantitative	correlation	Dim.1	0.797354674674773	0.0057307752567416
ENSG00000137691	quantitative	correlation	Dim.1	0.797024014895124	0.00576580068368471
ENSG00000174953	quantitative	correlation	Dim.1	0.795360256241436	0.00594435256942949
ENSG00000250317	quantitative	correlation	Dim.1	0.795042792647245	0.0059788639195282
ENSG00000196715	quantitative	correlation	Dim.1	0.793256025344242	0.00617576754110922
ENSG00000109920	quantitative	correlation	Dim.1	0.792721062563368	0.0062356070192402
ENSG00000170634	quantitative	correlation	Dim.1	0.792530629977779	0.00625700743587269
ENSG00000119421	quantitative	correlation	Dim.1	0.792107967473701	0.00630469187193151
ENSG00000176771	quantitative	correlation	Dim.1	0.792084366670988	0.00630736208709769
ENSG00000083857	quantitative	correlation	Dim.1	0.791325324988596	0.00639367018591993
ENSG00000096872	quantitative	correlation	Dim.1	0.789729628982941	0.00657784343759356
ENSG00000163607	quantitative	correlation	Dim.1	0.789529395454793	0.00660121720764572
KI270905:2824225:2824297	quantitative	correlation	Dim.1	0.787819702422803	0.00680320275078463
ENSG00000155313	quantitative	correlation	Dim.1	0.787469703588792	0.00684508671384398
ENSG00000138411	quantitative	correlation	Dim.1	0.785972391937214	0.00702633672125963
ENSG00000108021	quantitative	correlation	Dim.1	0.785793871571219	0.00704817144156646
ENSG00000174780	quantitative	correlation	Dim.1	0.784678090135898	0.00718573410340392
ENSG00000245910	quantitative	correlation	Dim.1	0.784033597167022	0.00726605422585493
ENSG00000150938	quantitative	correlation	Dim.1	0.783657116015956	0.00731326670748119
ENSG00000173166	quantitative	correlation	Dim.1	0.783141179468327	0.0073783202428106
ENSG00000113594	quantitative	correlation	Dim.1	0.782273836144528	0.00748860479096344
ENSG00000197182	quantitative	correlation	Dim.1	0.782034852570325	0.00751919615554133
ENSG00000264112	quantitative	correlation	Dim.1	0.781890848309972	0.00753767227910456
ENSG00000120533	quantitative	correlation	Dim.1	0.780749271402401	0.00768527958898177
ENSG00000127804	quantitative	correlation	Dim.1	0.780272310892304	0.00774755321661363
ENSG00000075223	quantitative	correlation	Dim.1	0.777294798067071	0.0081444118969333
ENSG00000058600	quantitative	correlation	Dim.1	0.775877836984795	0.00833823119340502
ENSG00000178105	quantitative	correlation	Dim.1	0.774794226320969	0.00848863710943715
MIMAT0005582	quantitative	correlation	Dim.1	0.774561088703234	0.00852124567598576
MIMAT0004955	quantitative	correlation	Dim.1	0.774367641453214	0.00854836994428931
ENSG00000173214	quantitative	correlation	Dim.1	0.773300359241666	0.00869911731277854
ENSG00000213903	quantitative	correlation	Dim.1	0.772615276891186	0.00879686496396854
ENSG00000104131	quantitative	correlation	Dim.1	0.771558197924412	0.00894920732652534
MVRD	quantitative	correlation	Dim.1	0.770078732706334	0.00916553728181121
ENSG00000167615	quantitative	correlation	Dim.1	0.768896524158865	0.00934103410251198
ENSG00000170946	quantitative	correlation	Dim.1	0.768862959617667	0.00934605102907974
ENSG00000162623	quantitative	correlation	Dim.1	0.768592427442526	0.00938655717295872
ENSG00000149187	quantitative	correlation	Dim.1	0.768247320256294	0.00943840878158832
ENSG00000166164	quantitative	correlation	Dim.1	0.767543780056801	0.00954473927013734
ENSG00000166813	quantitative	correlation	Dim.1	0.765340689905043	0.00988316827766443
ENSG00000070756	quantitative	correlation	Dim.1	0.764826073107584	0.00996342274971031
ENSG00000178409	quantitative	correlation	Dim.1	0.763489036173799	0.0101740776821155
ENSG00000108474	quantitative	correlation	Dim.1	0.762034395472631	0.0104068018343739
ENSG00000034693	quantitative	correlation	Dim.1	0.7607891344231	0.0106089826888432
ENSG00000181610	quantitative	correlation	Dim.1	0.758584710693417	0.010973641857126
MIMAT0027450	quantitative	correlation	Dim.1	0.758437250589379	0.0109983448765332
ENSG00000155760	quantitative	correlation	Dim.1	0.756402975727257	0.0113431339211615
ENSG00000181924	quantitative	correlation	Dim.1	0.755112577750934	0.0115657361944919
ENSG00000118564	quantitative	correlation	Dim.1	0.754624197712829	0.0116507790514839
ENSG00000122863	quantitative	correlation	Dim.1	0.753943255431439	0.0117700844587011
ENSG00000186575	quantitative	correlation	Dim.1	0.752663555298521	0.0119966108026283
ENSG00000186567	quantitative	correlation	Dim.1	0.752635371831072	0.0120016338381442
ENSG00000171867	quantitative	correlation	Dim.1	0.752571209400591	0.0120130747725972
MIMAT0027688	quantitative	correlation	Dim.1	0.752253488171851	0.012069841029177
ENSG00000124275	quantitative	correlation	Dim.1	0.751132682767739	0.0122715940662261
ENSG00000138434	quantitative	correlation	Dim.1	0.750758188622099	0.012339529224799
ENSG00000228649	quantitative	correlation	Dim.1	0.750276557161746	0.0124272865445296
ENSG00000100575	quantitative	correlation	Dim.1	0.750231012134627	0.012435607799935
ENSG00000169570	quantitative	correlation	Dim.1	0.749798181770281	0.0125148825605671
ENSG00000198408	quantitative	correlation	Dim.1	0.748202445535021	0.012810208066356
ENSG00000115295	quantitative	correlation	Dim.1	0.747288856108831	0.0129814659771911
ENSG00000138018	quantitative	correlation	Dim.1	0.747179674189616	0.0130020394123774
ENSG00000117543	quantitative	correlation	Dim.1	0.746654374065306	0.0131013422064553
ENSG00000163596	quantitative	correlation	Dim.1	0.746635828189481	0.0131048577893177
ENSG00000113318	quantitative	correlation	Dim.1	0.745433161589737	0.0133342493263868
ENSG00000171202	quantitative	correlation	Dim.1	0.745296568976677	0.0133604787630958
ENSG00000071994	quantitative	correlation	Dim.1	0.745293963915471	0.0133609793549452
ENSG00000156256	quantitative	correlation	Dim.1	0.743972511686553	0.0136166063761259
ENSG00000117525	quantitative	correlation	Dim.1	0.74342647615537	0.0137232248758785
MIMAT0037333	quantitative	correlation	Dim.1	0.743229055661943	0.0137619162492786
ENSG00000118600	quantitative	correlation	Dim.1	0.741901769108567	0.014024025520845
ENSG00000090621	quantitative	correlation	Dim.1	0.738960751643729	0.0146171986480657
ENSG00000197646	quantitative	correlation	Dim.1	0.737572727302548	0.014903137319201
ENSG00000171757	quantitative	correlation	Dim.1	0.737294978464133	0.0149608194658182
ENSG00000230844	quantitative	correlation	Dim.1	0.736438166005278	0.0151397407180398
ENSG00000114648	quantitative	correlation	Dim.1	0.735691255994154	0.0152969242144458
ENSG00000147669	quantitative	correlation	Dim.1	0.735554637254605	0.0153257974713898
ENSG00000138035	quantitative	correlation	Dim.1	0.735424320059575	0.015353374318417
ENSG00000147162	quantitative	correlation	Dim.1	0.73478178113232	0.0154898497754947
ENSG00000247092	quantitative	correlation	Dim.1	0.734441021818763	0.015562569005292
MIMAT0026477	quantitative	correlation	Dim.1	0.733436513663464	0.0157783178431946
ENSG00000188343	quantitative	correlation	Dim.1	0.733218202438595	0.0158254808336857
ENSG00000151789	quantitative	correlation	Dim.1	0.733041108945958	0.0158638113615608
ENSG00000196305	quantitative	correlation	Dim.1	0.732540064685847	0.0159726085987957
ENSG00000124571	quantitative	correlation	Dim.1	0.732373851589315	0.0160088146922504
ENSG00000118217	quantitative	correlation	Dim.1	0.732357462706195	0.0160123877632066
ENSG00000004961	quantitative	correlation	Dim.1	0.731153452565828	0.0162764047126556
ENSG00000119402	quantitative	correlation	Dim.1	0.730290717693308	0.0164674385281478
ENSG00000167985	quantitative	correlation	Dim.1	0.730222246876637	0.016482666360217
ENSG00000165661	quantitative	correlation	Dim.1	0.729175890141814	0.0167165947983885
ENSG00000213398	quantitative	correlation	Dim.1	0.729057698643842	0.0167431624726389
ENSG00000203993	quantitative	correlation	Dim.1	0.728964294026872	0.0167641791803017
ENSG00000114784	quantitative	correlation	Dim.1	0.72849632600359	0.016869751477566
ENSG00000182261	quantitative	correlation	Dim.1	0.725855496307849	0.0174741897000258
ENSG00000183077	quantitative	correlation	Dim.1	0.725550163141426	0.0175450306102459
ENSG00000107938	quantitative	correlation	Dim.1	0.725312563949462	0.0176002941769216
ENSG00000115365	quantitative	correlation	Dim.1	0.725122807264249	0.017644516668844
ENSG00000074696	quantitative	correlation	Dim.1	0.724425346136824	0.0178077215376649
chr7:5527905:5527967	quantitative	correlation	Dim.1	0.724289169265321	0.0178397084899468
ENSG00000168685	quantitative	correlation	Dim.1	0.724077916875299	0.0178894089879163
ENSG00000235437	quantitative	correlation	Dim.1	0.723910324398348	0.0179289060638065
ENSG00000114098	quantitative	correlation	Dim.1	0.723343102403137	0.0180630339907873
ENSG00000152223	quantitative	correlation	Dim.1	0.71990315913946	0.0188913995177152
MIMAT0003880	quantitative	correlation	Dim.1	0.719102994968908	0.0190877901703503
ENSG00000184787	quantitative	correlation	Dim.1	0.718799129950811	0.0191627390623993
ENSG00000135763	quantitative	correlation	Dim.1	0.71853171847851	0.0192288649476303
ENSG00000197989	quantitative	correlation	Dim.1	0.7183872079135	0.0192646653868682
MIMAT0031095	quantitative	correlation	Dim.1	0.718219402600145	0.019306294630549
ENSG00000117395	quantitative	correlation	Dim.1	0.716521438959406	0.0197310347741009
