factor	dimension	correlation	p.value
hsa-miR-345-5p	PC1	-0.926949531332859	0.000113993891473984
PLIN3	PC1	-0.92113924494491	0.000153715896124728
HSDL1	PC1	-0.917862821578616	0.000180166863843992
GBA1	PC1	-0.91679386199114	0.000189479756743057
THAP8	PC1	-0.911373702975248	0.000242256549152362
CIC	PC1	-0.904112260681452	0.000328973698202868
CPSF2	PC1	0.91145826224526	0.000241358621951098
TRMT13	PC1	0.915560227510021	0.000200662564014997
hsa-miR-7-5p	PC1	0.924152362918359	0.000132025934904116
CLOCK	PC1	0.93925721896913	5.53277790969991e-05
hsa-miR-372-5p	PC2	-0.932560155303143	8.33790322013075e-05
RPS6KA5	PC2	-0.918367866088474	0.00017588618079819
CENPC	PC2	-0.914361851643428	0.000211983791106656
PRPS2	PC2	-0.910378873449777	0.000253005990712781
MLF2	PC2	0.907666813022189	0.000284091699930061
hsa-miR-1185-5p	PC2	0.911220859950569	0.00024388580571945
COL5A1	PC2	0.913525017356685	0.000220163460552285
hsa-miR-615-5p	PC2	0.919585732364891	0.000165872206043334
SLC2A1	PC2	0.930660223839117	9.2961859298092e-05
COL1A1	PC2	0.964778629054577	6.45249850196254e-06
