factor	dimension	correlation	p.value
hsa-miR-760	PC1	-0.90718940312529	0.000289841118230971
hsa-miR-6861-3p	PC1	-0.897963161694812	0.000418612416543634
hsa-miR-199b-5p	PC1	0.900278377976602	0.000382995945101239
hsa-let-7a-5p	PC1	0.901471804747443	0.000365531037372441
hsa-let-7g-5p	PC1	0.904666866644599	0.00032165019311291
hsa-miR-98-5p	PC1	0.905497588254106	0.000310905489155545
hsa-let-7f-5p	PC1	0.910722746579514	0.000249251485616487
hsa-miR-382-5p	PC1	0.915457399814344	0.000201616117358158
hsa-miR-942-5p	PC1	0.918749493623692	0.000172701620152835
hsa-miR-769-5p	PC1	0.919885788402083	0.000163470928205538
hsa-miR-4804-5p	PC2	-0.898124365347107	0.000416056873380856
hsa-miR-1912-5p	PC2	-0.884290399743552	0.000680520688906539
hsa-miR-3187-5p	PC2	-0.866457842386643	0.00118059636112792
hsa-miR-328-5p	PC2	-0.849660798602823	0.0018564604538091
hsa-miR-10526-3p	PC2	-0.816652751710494	0.00393713459198213
hsa-miR-4642	PC2	0.817058991094286	0.00390439517846734
hsa-miR-139-5p	PC2	0.854858550916637	0.00162339952052693
hsa-miR-6866-5p	PC2	0.866085188857219	0.00119326850856222
hsa-miR-101-5p	PC2	0.867728519163561	0.00113812161603142
hsa-miR-361-5p	PC2	0.940658477347925	5.04830933873398e-05
hsa-miR-4524a-5p	PC3	-0.933403264525253	7.93693442009143e-05
hsa-miR-195-5p	PC3	-0.930192431823915	9.54409917233522e-05
hsa-miR-770-5p	PC3	-0.807045311072999	0.00477012321455895
hsa-miR-5582-5p	PC3	0.81292577143465	0.00424674332992512
hsa-miR-3690	PC3	0.821768753045139	0.0035389289377724
hsa-miR-101-2-5p	PC3	0.823107228782397	0.00343971528917233
hsa-miR-576-5p	PC3	0.835661370138935	0.00260385222000187
hsa-miR-1263	PC3	0.837829983069377	0.00247594782777284
hsa-miR-4796-5p	PC3	0.844219111056865	0.00212544637495393
hsa-miR-548s	PC3	0.869919598445694	0.00106750644222177
